id,name,skills
244,Job Seeker 244,"Communication, JavaScript, Ruby, SQL"
245,Job Seeker 245,"Cloud Computing, Machine Learning, Ruby, Python"
246,Job Seeker 246,"Cloud Computing, Adaptability, JavaScript, Machine Learning"
247,Job Seeker 247,"SQL, Problem Solving, Node.js, React, JavaScript"
248,Job Seeker 248,Cloud Computing
249,Job Seeker 249,"Java, HTML/CSS, Adaptability, Node.js"
250,Job Seeker 250,"Cloud Computing, React, Machine Learning, HTML/CSS"
251,Job Seeker 251,"Node.js, Ruby, Adaptability"
252,Job Seeker 252,"Java, React, JavaScript, Node.js"
253,Job Seeker 253,"Adaptability, Teamwork, SQL, Cloud Computing"
254,Job Seeker 254,
255,Job Seeker 255,"Problem Solving, HTML/CSS, Node.js, Ruby, Adaptability"
256,Job Seeker 256,"Problem Solving, Node.js, Communication, Python, SQL"
257,Job Seeker 257,
258,Job Seeker 258,"Ruby, Python"
259,Job Seeker 259,Communication
260,Job Seeker 260,
261,Job Seeker 261,"Node.js, Machine Learning, Ruby, React, HTML/CSS"
262,Job Seeker 262,"Cloud Computing, Ruby"
263,Job Seeker 263,
264,Job Seeker 264,
265,Job Seeker 265,
266,Job Seeker 266,Java
267,Job Seeker 267,"Java, Adaptability, SQL"
268,Job Seeker 268,"Python, Communication, Ruby, Problem Solving"
269,Job Seeker 269,"Adaptability, Machine Learning, Java, Communication, Node.js"
270,Job Seeker 270,"Python, JavaScript, Java, Problem Solving"
271,Job Seeker 271,"React, Ruby, JavaScript"
272,Job Seeker 272,"Problem Solving, Ruby"
273,Job Seeker 273,
274,Job Seeker 274,
275,Job Seeker 275,"Node.js, SQL, Cloud Computing, JavaScript, Adaptability"
276,Job Seeker 276,"Communication, SQL, Node.js"
277,Job Seeker 277,
278,Job Seeker 278,"Machine Learning, Cloud Computing, Adaptability"
279,Job Seeker 279,
280,Job Seeker 280,"Teamwork, Java, Machine Learning"
281,Job Seeker 281,"Cloud Computing, React, Communication"
282,Job Seeker 282,"React, Ruby, Problem Solving, Machine Learning, SQL"
283,Job Seeker 283,"Machine Learning, Python, SQL, Adaptability"
284,Job Seeker 284,
285,Job Seeker 285,
286,Job Seeker 286,"Node.js, Machine Learning, Cloud Computing, Java, Python"
287,Job Seeker 287,"Communication, Adaptability, Cloud Computing"
288,Job Seeker 288,Ruby
289,Job Seeker 289,Ruby
290,Job Seeker 290,"Communication, Python, Ruby"
291,Job Seeker 291,"Adaptability, JavaScript, Node.js, Cloud Computing"
292,Job Seeker 292,"Adaptability, Communication, JavaScript"
293,Job Seeker 293,"Node.js, Ruby, React"
294,Job Seeker 294,"JavaScript, Node.js"
295,Job Seeker 295,Python
296,Job Seeker 296,"Cloud Computing, Problem Solving, Teamwork"
297,Job Seeker 297,"Java, SQL, Node.js, Adaptability, Communication"
298,Job Seeker 298,Problem Solving
299,Job Seeker 299,"Ruby, Adaptability, Communication, Python, Cloud Computing"
300,Job Seeker 300,
301,Job Seeker 301,Teamwork
302,Job Seeker 302,
303,Job Seeker 303,"Adaptability, Python"
304,Job Seeker 304,"Teamwork, Machine Learning, HTML/CSS"
305,Job Seeker 305,
306,Job Seeker 306,"Adaptability, JavaScript, Problem Solving, Machine Learning, Cloud Computing"
307,Job Seeker 307,
308,Job Seeker 308,"Cloud Computing, Machine Learning, Python, JavaScript"
309,Job Seeker 309,
310,Job Seeker 310,"Teamwork, Problem Solving, Adaptability, Node.js, Communication"
311,Job Seeker 311,"Java, Communication"
312,Job Seeker 312,
313,Job Seeker 313,"Problem Solving, Ruby"
314,Job Seeker 314,
315,Job Seeker 315,"Teamwork, Problem Solving"
316,Job Seeker 316,"Node.js, Python"
317,Job Seeker 317,"Problem Solving, Machine Learning, Adaptability"
318,Job Seeker 318,"Problem Solving, Node.js, Ruby, Teamwork, Machine Learning"
319,Job Seeker 319,Communication
320,Job Seeker 320,"Ruby, Machine Learning, Adaptability"
321,Job Seeker 321,"Java, Teamwork, Problem Solving"
322,Job Seeker 322,"Teamwork, Ruby, SQL, Problem Solving"
323,Job Seeker 323,"Teamwork, Adaptability, Node.js, Machine Learning, Java"
324,Job Seeker 324,"HTML/CSS, Adaptability"
325,Job Seeker 325,"React, Ruby, JavaScript"
326,Job Seeker 326,"React, Python, Communication, Node.js, Ruby"
327,Job Seeker 327,"Teamwork, Machine Learning, Communication, React"
328,Job Seeker 328,"SQL, Cloud Computing, Machine Learning"
329,Job Seeker 329,"Adaptability, Python, Java"
330,Job Seeker 330,"Teamwork, Communication, Node.js, Cloud Computing, JavaScript"
331,Job Seeker 331,
332,Job Seeker 332,"Cloud Computing, Machine Learning, Python"
333,Job Seeker 333,"Python, JavaScript, SQL, Communication"
334,Job Seeker 334,"SQL, JavaScript, Communication, Java"
335,Job Seeker 335,HTML/CSS
336,Job Seeker 336,"Java, Machine Learning, Node.js, React, Python"
337,Job Seeker 337,JavaScript
338,Job Seeker 338,"React, Communication, Python, HTML/CSS"
339,Job Seeker 339,
340,Job Seeker 340,HTML/CSS
341,Job Seeker 341,"React, Communication"
342,Job Seeker 342,"Node.js, Python"
343,Job Seeker 343,Machine Learning
344,Job Seeker 344,"JavaScript, SQL"
345,Job Seeker 345,"Node.js, Ruby"
346,Job Seeker 346,"Machine Learning, React"
347,Job Seeker 347,"Cloud Computing, Node.js, SQL, Python, Machine Learning"
348,Job Seeker 348,"Problem Solving, Communication"
349,Job Seeker 349,"SQL, Adaptability"
350,Job Seeker 350,Adaptability
351,Job Seeker 351,Machine Learning
352,Job Seeker 352,"Machine Learning, HTML/CSS, Python, Node.js"
353,Job Seeker 353,"Ruby, Python, Adaptability"
354,Job Seeker 354,"Teamwork, Node.js, Communication"
355,Job Seeker 355,"Teamwork, JavaScript, SQL"
356,Job Seeker 356,"Node.js, Ruby, Teamwork, JavaScript"
357,Job Seeker 357,"Adaptability, Communication, Problem Solving"
358,Job Seeker 358,
359,Job Seeker 359,"Java, JavaScript"
360,Job Seeker 360,Teamwork
361,Job Seeker 361,"Adaptability, Node.js"
362,Job Seeker 362,"Problem Solving, JavaScript, Node.js, Adaptability"
363,Job Seeker 363,"Communication, SQL"
364,Job Seeker 364,"Adaptability, Python, Problem Solving"
365,Job Seeker 365,Cloud Computing
366,Job Seeker 366,"Cloud Computing, Adaptability, Problem Solving, SQL, Teamwork"
367,Job Seeker 367,HTML/CSS
368,Job Seeker 368,"HTML/CSS, Problem Solving, JavaScript"
369,Job Seeker 369,"React, SQL, JavaScript, Ruby, HTML/CSS"
370,Job Seeker 370,"HTML/CSS, JavaScript"
371,Job Seeker 371,"Python, Java, React, JavaScript, Communication"
372,Job Seeker 372,
373,Job Seeker 373,"React, Python, SQL, JavaScript, Java"
374,Job Seeker 374,"Node.js, Python"
375,Job Seeker 375,"React, Teamwork, JavaScript"
376,Job Seeker 376,"Communication, Adaptability"
377,Job Seeker 377,"Machine Learning, Adaptability, Problem Solving"
378,Job Seeker 378,
379,Job Seeker 379,"Cloud Computing, Problem Solving, Adaptability"
380,Job Seeker 380,Cloud Computing
381,Job Seeker 381,"SQL, Communication"
382,Job Seeker 382,"Python, Ruby, React"
383,Job Seeker 383,"Python, Problem Solving"
384,Job Seeker 384,
385,Job Seeker 385,"Python, React, Teamwork, Problem Solving"
386,Job Seeker 386,SQL
387,Job Seeker 387,Machine Learning
388,Job Seeker 388,"Java, React"
389,Job Seeker 389,"Python, Cloud Computing, Machine Learning, JavaScript"
390,Job Seeker 390,"Python, Node.js, Teamwork, Java"
391,Job Seeker 391,"HTML/CSS, Adaptability"
392,Job Seeker 392,"Java, Adaptability, HTML/CSS, Python"
393,Job Seeker 393,"Adaptability, Problem Solving, Python, HTML/CSS, Teamwork"
394,Job Seeker 394,"Python, JavaScript, Problem Solving, HTML/CSS"
395,Job Seeker 395,"Adaptability, JavaScript"
396,Job Seeker 396,"Problem Solving, Communication, SQL"
397,Job Seeker 397,"Problem Solving, Python, SQL"
398,Job Seeker 398,Java
399,Job Seeker 399,"Adaptability, SQL, HTML/CSS, Cloud Computing"
400,Job Seeker 400,"Cloud Computing, Node.js, JavaScript"
401,Job Seeker 401,Ruby
402,Job Seeker 402,
403,Job Seeker 403,"React, HTML/CSS, Adaptability, Python, Machine Learning"
404,Job Seeker 404,
405,Job Seeker 405,Problem Solving
406,Job Seeker 406,"React, Machine Learning, Java"
407,Job Seeker 407,"Node.js, Teamwork"
408,Job Seeker 408,"Teamwork, Java, Python"
409,Job Seeker 409,SQL
410,Job Seeker 410,"Problem Solving, Teamwork"
411,Job Seeker 411,SQL
412,Job Seeker 412,"SQL, Machine Learning"
413,Job Seeker 413,"Node.js, Problem Solving, Communication"
414,Job Seeker 414,
415,Job Seeker 415,"Python, SQL, Adaptability"
416,Job Seeker 416,"Communication, Python"
417,Job Seeker 417,"JavaScript, Python"
418,Job Seeker 418,"Node.js, SQL, Java, Python, React"
419,Job Seeker 419,"Java, Cloud Computing, JavaScript"
420,Job Seeker 420,
421,Job Seeker 421,
422,Job Seeker 422,"Ruby, React"
423,Job Seeker 423,
424,Job Seeker 424,HTML/CSS
425,Job Seeker 425,
426,Job Seeker 426,"Adaptability, React, Java, Communication, Teamwork"
427,Job Seeker 427,"Communication, SQL, Problem Solving"
428,Job Seeker 428,"Cloud Computing, JavaScript, Adaptability, Python, Java"
429,Job Seeker 429,"JavaScript, Communication, Machine Learning, Adaptability, Node.js"
430,Job Seeker 430,"React, Teamwork, Adaptability, Ruby"
431,Job Seeker 431,"JavaScript, Adaptability, Python, Machine Learning, React"
432,Job Seeker 432,"Problem Solving, Ruby, Communication, SQL"
433,Job Seeker 433,Ruby
434,Job Seeker 434,HTML/CSS
435,Job Seeker 435,"Cloud Computing, Python, HTML/CSS, Problem Solving"
436,Job Seeker 436,
437,Job Seeker 437,
438,Job Seeker 438,"Machine Learning, SQL, Teamwork"
439,Job Seeker 439,"Adaptability, Communication"
440,Job Seeker 440,Adaptability
441,Job Seeker 441,"JavaScript, SQL, Problem Solving, HTML/CSS"
442,Job Seeker 442,
443,Job Seeker 443,Adaptability
444,Job Seeker 444,"JavaScript, HTML/CSS"
445,Job Seeker 445,"Cloud Computing, React, Node.js, Machine Learning, Adaptability"
446,Job Seeker 446,"Communication, Java"
447,Job Seeker 447,
448,Job Seeker 448,Communication
449,Job Seeker 449,"Java, Python, Ruby"
450,Job Seeker 450,Problem Solving
451,Job Seeker 451,"HTML/CSS, Cloud Computing, Java, SQL"
452,Job Seeker 452,
453,Job Seeker 453,"React, JavaScript, Teamwork, Cloud Computing"
454,Job Seeker 454,"Adaptability, Machine Learning, React, Ruby"
455,Job Seeker 455,Ruby
456,Job Seeker 456,"Node.js, React, Machine Learning"
457,Job Seeker 457,"Python, Machine Learning, Communication"
458,Job Seeker 458,"React, SQL"
459,Job Seeker 459,"SQL, JavaScript"
460,Job Seeker 460,
461,Job Seeker 461,"Python, JavaScript"
462,Job Seeker 462,"Node.js, Ruby, Python"
463,Job Seeker 463,React
464,Job Seeker 464,Java
465,Job Seeker 465,"Problem Solving, SQL, Communication, HTML/CSS, Teamwork"
466,Job Seeker 466,"JavaScript, Python, Problem Solving"
467,Job Seeker 467,"Cloud Computing, Machine Learning, Python"
468,Job Seeker 468,"Adaptability, Java"
469,Job Seeker 469,"Machine Learning, Teamwork, Adaptability"
470,Job Seeker 470,"Ruby, JavaScript"
471,Job Seeker 471,Machine Learning
472,Job Seeker 472,"HTML/CSS, SQL, Python, Teamwork"
473,Job Seeker 473,
474,Job Seeker 474,Python
475,Job Seeker 475,"HTML/CSS, Python, Adaptability, Node.js, Communication"
476,Job Seeker 476,
477,Job Seeker 477,"Teamwork, React, Ruby"
478,Job Seeker 478,"React, Teamwork, Problem Solving"
479,Job Seeker 479,"Cloud Computing, Node.js, SQL, Adaptability, HTML/CSS"
480,Job Seeker 480,"Teamwork, Node.js"
481,Job Seeker 481,"Ruby, React"
482,Job Seeker 482,
483,Job Seeker 483,"React, JavaScript, SQL, Teamwork"
484,Job Seeker 484,"Machine Learning, Communication"
485,Job Seeker 485,"Python, HTML/CSS, Ruby, Cloud Computing, Teamwork"
486,Job Seeker 486,"Cloud Computing, Problem Solving, HTML/CSS, Python, React"
487,Job Seeker 487,"HTML/CSS, JavaScript, Adaptability, Teamwork, Java"
488,Job Seeker 488,
489,Job Seeker 489,
490,Job Seeker 490,
491,Job Seeker 491,"Java, Cloud Computing, React, Node.js, Machine Learning"
492,Job Seeker 492,"Communication, Node.js"
493,Job Seeker 493,"HTML/CSS, Problem Solving, Java, Machine Learning"
494,Job Seeker 494,"React, Adaptability, Teamwork"
495,Job Seeker 495,
496,Job Seeker 496,"Machine Learning, React, Node.js"
497,Job Seeker 497,"Cloud Computing, Teamwork, Node.js, Machine Learning"
498,Job Seeker 498,Ruby
499,Job Seeker 499,"React, SQL, Cloud Computing, HTML/CSS, Python"
500,Job Seeker 500,"Java, JavaScript"
501,Job Seeker 501,SQL
502,Job Seeker 502,"HTML/CSS, React, Adaptability, Problem Solving"
503,Job Seeker 503,"Node.js, Machine Learning, HTML/CSS, Communication, Python"
504,Job Seeker 504,"Java, Adaptability"
505,Job Seeker 505,"Adaptability, Communication"
506,Job Seeker 506,"Communication, React, Python, Node.js, JavaScript"
507,Job Seeker 507,"Problem Solving, Node.js, Teamwork"
508,Job Seeker 508,React
509,Job Seeker 509,"Ruby, Problem Solving, Communication, SQL"
510,Job Seeker 510,"Python, Machine Learning, Adaptability, Java"
511,Job Seeker 511,"HTML/CSS, Node.js, JavaScript, Problem Solving, Machine Learning"
512,Job Seeker 512,SQL
513,Job Seeker 513,"Java, SQL, Machine Learning"
514,Job Seeker 514,"Java, Teamwork, HTML/CSS"
515,Job Seeker 515,
516,Job Seeker 516,
517,Job Seeker 517,"JavaScript, SQL, Adaptability"
518,Job Seeker 518,Adaptability
519,Job Seeker 519,"Teamwork, Python, Node.js, React"
520,Job Seeker 520,"Communication, Python, Teamwork"
521,Job Seeker 521,"Java, HTML/CSS, Teamwork, Machine Learning, Python"
522,Job Seeker 522,
523,Job Seeker 523,"Cloud Computing, React, JavaScript, Teamwork, Adaptability"
524,Job Seeker 524,Communication
525,Job Seeker 525,
526,Job Seeker 526,"Ruby, Python, Machine Learning, Node.js"
527,Job Seeker 527,"Cloud Computing, SQL, Adaptability, Java, Problem Solving"
528,Job Seeker 528,JavaScript
529,Job Seeker 529,"Communication, HTML/CSS, Python, Cloud Computing"
530,Job Seeker 530,
531,Job Seeker 531,"Ruby, React, JavaScript, Teamwork, Machine Learning"
532,Job Seeker 532,"React, JavaScript, Node.js, Problem Solving"
533,Job Seeker 533,"React, Communication, JavaScript, Cloud Computing"
534,Job Seeker 534,
535,Job Seeker 535,
536,Job Seeker 536,
537,Job Seeker 537,"Python, Machine Learning"
538,Job Seeker 538,
539,Job Seeker 539,"SQL, Teamwork, Communication, Python"
540,Job Seeker 540,"SQL, Node.js, React"
541,Job Seeker 541,"Machine Learning, React, Node.js, Adaptability"
542,Job Seeker 542,
543,Job Seeker 543,"Node.js, JavaScript"
544,Job Seeker 544,Adaptability
545,Job Seeker 545,"Teamwork, Problem Solving, SQL"
546,Job Seeker 546,"JavaScript, Adaptability, Teamwork"
547,Job Seeker 547,"Teamwork, Python, Communication"
548,Job Seeker 548,
549,Job Seeker 549,Python
550,Job Seeker 550,"Cloud Computing, Problem Solving, SQL, Teamwork, Python"
